Industry,Country,Year,Attack_Type,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD
Banking,Russia,2017.0,Phishing,pii_customer,714554.73,8755,12.1,41.2983,10,2.0,4.227,100.0,71.27
Banking,Brazil,2017.0,Phishing,pii_customer,338483.96,9602,12.2,37.3015,45,4.0,4.225,100.0,90.18
Banking,USA,2020.0,Phishing,pii_customer,624162.66,22023,9.0,14.8049,26,1.0,3.808,100.0,32.4
Banking,Australia,2023.0,Phishing,pii_customer,804092.67,9035,9.0,47.8647,14,1.0,4.23,100.0,91.76
Banking,China,2017.0,Phishing,pii_customer,842317.98,9185,12.3,61.7358,73,4.0,4.215,100.0,50.75
Banking,India,2023.0,Phishing,pii_customer,276466.97,8955,12.2,87.7302,37,4.0,4.22,100.0,46.58
Banking,India,2016.0,Phishing,pii_customer,841322.68,8939,12.0,97.2786,45,3.0,4.233,100.0,98.25
Banking,USA,2017.0,Phishing,pii_customer,180231.29,2942,12.2,36.1597,21,3.0,4.235,100.0,69.21
Banking,China,2017.0,Phishing,pii_customer,685993.55,8936,12.2,93.3517,16,3.0,4.211,100.0,73.55
Banking,Japan,2021.0,Phishing,pii_customer,402190.77,8761,19.3,48.4752,66,4.0,4.221,100.0,43.5
Banking,Germany,2017.0,Phishing,pii_customer,448411.57,8808,12.2,37.5452,4,4.0,4.224,100.0,67.18
Banking,Australia,2017.0,Phishing,pii_customer,784588.71,9168,12.0,84.012,37,3.0,4.214,100.0,91.66
Banking,Germany,2019.0,Phishing,pii_customer,76520.46,8541,12.1,92.0001,20,3.0,4.233,100.0,93.39
Banking,USA,2022.0,Phishing,pii_customer,721263.74,8939,12.5,48.7844,10,1.0,4.244,100.0,39.66
Banking,Russia,2021.0,Phishing,pii_customer,386437.16,8497,12.0,79.1712,4,3.0,4.218,100.0,86.1
Banking,France,2015.0,Phishing,pii_customer,706143.0,9083,12.3,80.3496,12,1.0,4.223,100.0,85.59
Banking,France,2021.0,Phishing,pii_customer,537515.25,8770,12.2,94.4247,48,4.0,4.233,100.0,93.08
Banking,France,2021.0,Phishing,pii_customer,699530.01,9115,12.5,88.1007,13,1.0,4.215,100.0,89.94
Banking,Japan,2017.0,Phishing,pii_customer,450345.98,8871,12.5,77.1898,63,4.0,4.217,100.0,99.99
Banking,UK,2017.0,Phishing,pii_customer,370713.78,8946,12.3,39.8718,24,1.0,4.231,100.0,14.9
Banking,Japan,2021.0,Phishing,pii_customer,851548.57,8481,12.1,45.8684,66,4.0,4.223,100.0,89.86
Banking,Australia,2017.0,Phishing,pii_customer,381333.21,8836,12.5,92.2482,21,2.0,4.233,100.0,91.57
Banking,China,2021.0,Phishing,pii_customer,693364.3,9153,12.4,55.3788,33,1.0,4.209,100.0,35.6
Banking,UK,2022.0,Phishing,pii_customer,800285.7,8884,12.3,34.7976,4,1.0,4.222,100.0,73.72
Banking,UK,2015.0,Phishing,pii_customer,347893.69,8887,11.9,94.7199,41,2.0,4.23,100.0,90.0
Banking,Japan,2023.0,Phishing,pii_customer,83863.75,9332,12.2,66.3844,68,4.0,4.221,100.0,90.14
Banking,Japan,2019.0,Phishing,pii_customer,862145.22,8883,12.0,84.8672,49,3.0,4.235,100.0,65.65
Banking,India,2018.0,Phishing,pii_customer,350436.68,8862,12.3,65.0256,69,3.0,4.211,100.0,93.36
Banking,India,2021.0,Phishing,pii_customer,446063.75,8984,12.2,63.4679,14,2.0,4.218,100.0,74.0
Banking,India,2021.0,Phishing,pii_customer,672497.2,9394,11.9,92.6417,27,2.0,4.217,100.0,93.5
Banking,UK,2017.0,Phishing,pii_customer,662215.92,9277,12.4,92.3419,57,4.0,4.231,100.0,97.17
Banking,China,2016.0,Phishing,pii_customer,82790.76,8579,12.7,7.484,12,1.0,4.248,100.0,31.35
Banking,France,2017.0,Phishing,pii_customer,813636.19,8963,12.5,85.9351,20,1.0,4.235,100.0,84.85
Banking,Australia,2017.0,Phishing,pii_customer,715106.78,8631,12.2,39.7524,57,1.0,4.228,100.0,47.88
Banking,China,2017.0,Phishing,pii_customer,785127.47,8810,12.4,97.8251,34,3.0,4.242,100.0,91.86
Banking,Australia,2018.0,Phishing,pii_customer,317787.17,8903,12.2,96.0466,43,3.0,4.216,100.0,72.38
Banking,Japan,2015.0,Phishing,pii_customer,87867.72,8935,12.3,37.6453,44,4.0,4.222,100.0,85.18
Banking,UK,2019.0,Phishing,pii_customer,896666.88,8565,12.4,96.3563,25,2.0,4.218,100.0,90.69
