Year,Industry,Cost_MillionUSD,Source_Tag
2024,Healthcare,9.77,IBM_2024_Report
2024,Financial,6.08,IBM_2024_Report
2024,Industrial,5.56,IBM_2024_Report
2024,Energy,5.29,IBM_2024_Report
2024,Technology,5.45,IBM_2024_Report
2024,Pharmaceuticals,5.1,IBM_2024_Report
2024,Services,5.08,IBM_2024_Report
2024,Entertainment,4.09,IBM_2024_Report
2024,Media,3.94,IBM_2024_Report
2024,Hospitality,3.82,IBM_2024_Report
2024,Transportation,4.43,IBM_2024_Report
2024,Education,3.5,IBM_2024_Report
2024,Research,3.54,IBM_2024_Report
2024,Communications,4.09,IBM_2024_Report
2024,Consumer,3.91,IBM_2024_Report
2024,Retail,3.48,IBM_2024_Report
2024,Public,2.55,IBM_2024_Report
